,Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
0,1,Justin Jefferson (MIN),2022,17,8,106,70,70,37,8,0,11,8,0,2,4,2,1,0,0
1,2,Davante Adams (LV),2022,17,6,89,60,60,29,6,1,11,6,0,1,4,1,1,0,0
2,3,Tyreek Hill (MIA),2022,17,7,101,72,72,28,3,0,10,7,0,1,4,1,1,0,0
3,4,A.J. Brown (PHI),2022,17,5,88,56,56,32,11,0,9,6,0,1,3,1,1,0,0
4,5,Stefon Diggs (BUF),2022,17,6,86,60,60,25,6,0,9,7,0,1,3,1,1,0,0
5,6,CeeDee Lamb (DAL),2022,17,6,80,51,51,29,9,1,9,7,0,1,4,1,0,0,0
6,7,Jaylen Waddle (MIA),2022,17,4,80,50,50,30,9,0,7,5,0,0,3,1,1,0,0
7,8,Amari Cooper (CLE),2022,17,5,68,49,49,19,5,0,8,5,1,1,3,1,0,0,0
8,9,Amon-Ra St. Brown (DET),2022,16,7,73,40,40,33,6,0,9,7,0,1,4,1,0,0,0
9,10,DeVonta Smith (PHI),2022,17,6,70,42,42,29,6,0,8,6,0,1,3,1,0,0,0
10,11,Christian Kirk (JAC),2022,17,5,65,43,43,22,4,0,8,5,0,1,3,1,0,0,0
11,12,Ja'Marr Chase (CIN),2022,13,7,80,47,47,34,11,1,10,8,1,2,3,1,0,0,0
12,13,Tyler Lockett (SEA),2022,16,5,65,47,47,17,1,0,7,5,0,1,3,1,1,0,0
13,14,Terry McLaurin (WAS),2022,17,5,70,47,47,23,8,0,7,5,0,1,3,1,1,0,0
14,15,Brandon Aiyuk (SF),2022,17,5,60,37,37,23,6,0,7,5,0,1,3,1,0,0,0
15,16,Mike Evans (TB),2022,15,5,75,61,61,14,4,0,8,5,0,1,3,1,0,0,0
16,17,Tee Higgins (CIN),2022,15,5,69,50,50,19,7,0,7,5,1,1,3,1,0,0,0
17,18,Jerry Jeudy (DEN),2022,15,4,65,38,38,26,7,0,7,5,0,1,2,1,1,0,0
18,19,DK Metcalf (SEA),2022,17,5,62,49,49,13,4,0,8,6,0,2,3,1,0,0,0
19,20,DJ Moore (CHI),2022,17,4,52,42,42,11,3,0,7,4,0,1,2,1,0,0,0
20,21,Garrett Wilson (NYJ),2022,17,5,65,43,43,22,11,1,9,5,0,1,3,1,0,0,0
21,22,Cooper Kupp (LAR),2022,9,8,90,43,43,47,12,0,11,9,0,1,3,1,0,0,0
22,23,Chris Olave (NO),2022,15,5,69,55,55,14,4,0,8,5,0,1,3,1,0,0,0
23,24,Gabe Davis (BUF),2022,15,3,56,46,46,10,1,0,6,4,1,1,2,1,0,0,0
24,25,Christian Watson (GB),2022,14,3,44,24,24,20,3,0,5,3,0,1,2,1,0,0,0
25,26,Chris Godwin (TB),2022,15,7,68,33,33,35,9,0,9,7,0,1,3,1,0,0,0
26,27,Michael Pittman Jr. (IND),2022,16,6,58,36,36,22,7,0,9,7,0,1,3,1,0,0,0
27,28,Tyler Boyd (CIN),2022,17,3,46,31,31,15,5,0,5,4,0,1,2,1,0,0,0
28,29,Zay Jones (JAC),2022,16,5,51,34,34,18,4,0,8,6,1,1,2,0,0,0,0
29,30,Allen Lazard (NYJ),2022,15,4,53,36,36,17,4,0,7,5,0,1,2,1,0,0,0
30,31,George Pickens (PIT),2022,17,3,47,41,41,6,3,0,5,3,0,0,2,1,0,0,0
31,32,Mike Williams (LAC),2022,13,5,69,43,43,26,4,0,7,5,0,1,3,1,0,0,0
32,33,Jakobi Meyers (LV),2022,14,5,57,41,41,17,2,0,7,5,0,1,2,1,0,0,0
33,34,Deebo Samuel (SF),2022,13,4,49,11,11,38,14,1,7,5,1,1,2,1,0,0,0
34,35,Curtis Samuel (WAS),2022,17,4,39,21,21,17,4,0,5,4,0,1,2,1,0,0,0
35,36,Adam Thielen (CAR),2022,17,4,42,33,33,9,2,0,6,4,0,1,2,0,0,0,0
36,37,JuJu Smith-Schuster (NE),2022,16,5,58,27,27,31,8,0,6,5,0,1,2,1,0,0,0
37,38,Drake London (ATL),2022,17,4,51,36,36,15,3,0,7,5,0,1,2,1,0,0,0
38,39,Donovan Peoples-Jones (CLE),2022,17,4,49,38,38,11,2,0,6,4,0,1,2,1,0,0,0
39,40,Keenan Allen (LAC),2022,10,7,75,49,49,26,5,0,9,7,0,2,3,1,1,0,0
40,41,Joshua Palmer (LAC),2022,16,5,48,32,32,16,3,0,7,5,0,1,2,0,0,0,0
41,42,Mack Hollins (ATL),2022,17,3,41,29,29,12,2,0,6,4,0,1,1,1,0,0,0
42,43,Jahan Dotson (WAS),2022,12,3,44,32,32,11,4,0,5,3,1,1,2,1,0,0,0
43,44,K.J. Osborn (MIN),2022,17,4,38,21,21,18,4,0,5,4,0,1,1,0,0,0,0
44,45,Courtland Sutton (DEN),2022,15,4,55,45,45,10,2,0,7,5,1,1,2,1,0,0,0
45,46,Diontae Johnson (PIT),2022,17,5,52,38,38,14,4,0,9,6,0,1,2,0,0,0,0
46,47,Marquise Brown (ARI),2022,12,6,59,39,39,20,3,0,9,6,0,1,3,1,0,0,0
47,48,Brandin Cooks (DAL),2022,13,4,54,38,38,16,1,0,7,5,0,1,2,1,0,0,0
48,49,DeAndre Hopkins (ARI),2022,9,7,80,61,61,18,6,0,11,8,1,1,3,1,0,0,0
49,50,Parris Campbell (NYG),2022,17,4,37,20,20,16,3,0,5,4,0,1,1,0,0,0,0
50,51,Darius Slayton (NYG),2022,13,4,56,36,36,20,7,0,5,4,1,0,2,1,1,0,0
51,52,Marquez Valdes-Scantling (KC),2022,17,2,40,32,32,9,2,0,5,3,0,1,2,1,0,0,0
52,53,Devin Duvernay (BAL),2022,14,3,29,18,18,11,1,0,4,3,0,1,1,0,0,0,0
53,54,Isaiah McKenzie (IND),2022,16,3,26,18,18,8,1,0,4,3,0,1,1,0,0,0,0
54,55,Richie James Jr. (KC),2022,16,4,36,25,25,11,1,0,4,4,0,0,2,0,0,0,0
55,56,Russell Gage (TB),2022,13,4,33,20,20,13,5,0,5,4,0,1,1,0,0,0,0
56,57,Rashid Shaheed (NO),2022,12,2,41,27,27,15,3,0,3,2,0,0,1,1,1,0,0
57,58,DeVante Parker (NE),2022,13,2,41,33,33,8,3,0,4,3,0,0,2,1,0,0,0
58,59,Noah Brown (HOU),2022,16,3,35,27,27,8,3,0,5,3,0,1,1,0,0,0,0
59,60,Alec Pierce (IND),2022,16,3,37,30,30,7,1,0,5,3,0,0,2,1,0,0,0
60,61,Marvin Jones Jr. (DET),2022,16,3,33,27,27,6,1,0,5,3,0,1,2,0,0,0,0
61,62,Olamide Zaccheaus (PHI),2022,17,2,31,20,20,11,2,0,4,3,0,0,1,1,0,0,0
62,63,Kalif Raymond (DET),2022,17,3,36,23,23,13,2,0,4,3,0,1,1,1,0,0,0
63,64,Mecole Hardman Jr. (NYJ),2022,8,3,37,17,17,20,3,0,4,3,0,1,1,1,0,0,0
64,65,DJ Chark Jr. (CAR),2022,11,3,46,33,33,12,1,0,5,3,0,0,2,1,0,0,0
65,66,Chris Moore (TEN),2022,15,3,37,19,19,18,3,0,5,3,0,1,1,1,0,0,0
66,67,Michael Gallup (DAL),2022,14,3,30,23,23,8,2,0,5,3,1,1,1,0,0,0,0
67,68,DeAndre Carter (LV),2022,17,3,32,20,20,12,2,0,4,3,0,1,1,1,0,0,0
68,69,Josh Reynolds (DET),2022,12,3,40,30,30,10,2,0,5,4,0,1,2,1,0,0,0
69,70,Corey Davis (NYJ),2022,13,2,41,33,33,8,2,0,5,3,0,1,2,1,0,0,0
70,71,Isaiah Hodgins (NYG),2022,9,4,44,33,33,10,1,0,5,4,0,1,2,0,0,0,0
71,72,Marquise Goodwin (CLE),2022,13,2,30,21,21,9,4,0,3,2,0,0,1,1,0,0,0
72,73,Robert Woods (HOU),2022,17,3,31,22,22,9,1,0,5,3,0,1,1,0,0,0,0
73,74,Darnell Mooney (CHI),2022,11,4,45,29,29,16,1,0,6,4,0,1,2,1,0,0,0
74,75,Greg Dortch (ARI),2022,16,3,29,11,11,19,8,0,4,3,0,0,1,0,0,0,0
75,76,Nico Collins (HOU),2022,10,4,48,32,32,16,3,0,7,4,0,1,2,1,0,0,0
76,77,Romeo Doubs (GB),2022,13,3,33,18,18,15,3,0,5,4,1,1,1,1,0,0,0
77,78,Chase Claypool (CHI),2022,15,3,30,20,20,10,3,0,5,3,0,0,1,0,0,0,0
78,79,Nick Westbrook-Ikhine (TEN),2022,16,2,25,18,18,7,2,0,3,2,0,0,1,0,0,0,0
79,80,Demarcus Robinson (FA),2022,16,3,29,20,20,9,4,0,5,3,0,1,1,0,0,0,0
80,81,Treylon Burks (TEN),2022,11,3,40,26,26,15,5,0,5,3,0,0,1,1,0,0,0
81,82,Terrace Marshall Jr. (CAR),2022,13,2,38,27,27,11,5,0,4,2,0,0,2,1,0,0,0
82,83,Van Jefferson (LAR),2022,10,2,37,33,33,4,1,0,4,3,0,1,2,1,0,0,0
83,84,Trent Sherfield (BUF),2022,16,2,26,17,17,9,2,0,3,2,0,1,1,0,0,0,0
84,85,Kendrick Bourne (NE),2022,16,2,27,18,18,9,2,0,3,2,0,0,1,0,0,0,0
85,86,Allen Robinson II (PIT),2022,10,3,34,27,27,7,1,0,5,3,0,1,2,0,0,0,0
86,87,Quez Watkins (PHI),2022,17,2,21,12,12,9,2,0,3,2,0,0,1,0,0,0,0
87,88,Elijah Moore (CLE),2022,16,2,28,21,21,7,2,0,4,2,0,0,1,1,0,0,0
88,89,Jamal Agnew (JAC),2022,15,2,12,4,4,8,1,0,2,2,0,0,0,0,0,0,0
89,90,Trenton Irwin (CIN),2022,9,2,26,19,19,7,2,0,3,2,0,1,1,0,0,0,0
90,91,Randall Cobb (NYJ),2022,13,3,32,18,18,14,4,0,4,3,0,1,1,1,0,0,0
91,92,Jauan Jennings (SF),2022,16,2,26,15,15,11,3,0,4,3,0,0,1,0,0,0,0
92,93,Rondale Moore (ARI),2022,8,5,52,17,17,35,11,1,7,6,1,1,2,1,0,0,0
93,94,Julio Jones (FA),2022,10,2,30,18,18,12,3,0,4,3,0,1,1,0,0,0,0
94,95,Dante Pettis (CHI),2022,17,1,14,11,11,4,0,0,2,1,0,0,1,0,0,0,0
95,96,Laviska Shenault Jr. (CAR),2022,13,2,21,-5,-5,25,7,0,2,2,0,0,1,0,0,0,0
96,97,Ben Skowronek (LAR),2022,14,3,27,17,17,10,2,0,4,3,0,0,1,0,0,0,0
97,98,Tutu Atwell (LAR),2022,12,2,25,20,20,5,1,0,3,2,0,0,1,0,0,0,0
98,99,Tyquan Thornton (NE),2022,12,2,21,15,15,6,1,0,4,2,0,0,1,0,0,0,0
99,100,Nelson Agholor (BAL),2022,15,2,24,15,15,10,3,0,4,2,0,0,1,0,0,0,0
100,101,Ray-Ray McCloud III (SF),2022,17,1,14,9,9,5,1,0,1,1,0,0,1,0,0,0,0
101,102,Equanimeous St. Brown (CHI),2022,16,1,20,15,15,6,1,0,2,1,0,0,1,0,0,0,0
102,103,Justin Watson (KC),2022,17,1,19,15,15,4,1,0,2,1,0,0,1,0,0,0,0
103,104,Hunter Renfrow (LV),2022,10,4,33,18,18,15,4,0,5,4,0,1,1,0,0,0,0
104,105,Kadarius Toney (KC),2022,9,2,19,7,7,12,5,0,2,2,0,1,1,0,0,0,0
105,106,Braxton Berrios (MIA),2022,17,1,9,3,3,5,1,0,2,1,0,0,0,0,0,0,0
106,107,Shi Smith (CAR),2022,17,1,17,8,8,9,2,0,2,1,0,0,1,0,0,0,0
107,108,Damiere Byrd (CAR),2022,12,1,22,14,14,9,1,0,2,1,0,0,1,0,0,0,0
108,109,Rashod Bateman (BAL),2022,6,3,48,25,25,22,2,0,5,3,1,0,1,1,1,0,0
109,110,A.J. Green (FA),2022,13,2,18,13,13,5,2,0,4,2,0,0,0,0,0,0,0
110,111,Jarvis Landry (FA),2022,9,3,30,23,23,7,2,0,4,3,0,1,1,0,0,0,0
111,112,Michael Thomas (NO),2022,3,5,57,50,50,7,1,0,7,6,0,1,3,1,0,0,0
112,113,Tre'Quan Smith (NO),2022,10,2,28,21,21,7,3,0,3,2,0,0,1,0,0,0,0
113,114,Kendall Hinton (DEN),2022,11,2,28,16,16,13,5,0,3,3,0,0,1,0,0,0,0
114,115,Chosen Anderson (MIA),2022,12,2,24,16,16,8,0,0,4,2,0,0,1,0,0,0,0
115,116,Phillip Dorsett II (LV),2022,15,1,17,13,13,4,1,0,3,2,0,0,1,0,0,0,0
116,117,Sammy Watkins (FA),2022,9,2,36,22,22,14,1,0,3,2,0,1,1,1,0,0,0
117,118,Wan'Dale Robinson (NYG),2022,6,4,38,17,17,21,4,0,5,4,0,0,2,0,0,0,0
118,119,KhaDarel Hodge (ATL),2022,13,1,16,11,11,5,0,0,2,1,0,0,1,0,0,0,0
119,120,Dyami Brown (WAS),2022,9,1,16,12,12,3,0,0,2,1,0,0,0,0,0,0,0
120,121,Ashton Dulin (IND),2022,10,2,21,17,17,4,2,0,2,2,0,0,1,0,0,0,0
121,122,Velus Jones Jr. (CHI),2022,11,1,10,6,6,3,1,0,1,1,0,0,0,0,0,0,0
122,123,Byron Pringle (FA),2022,10,1,14,12,12,1,0,0,2,1,0,0,1,0,0,0,0
123,124,Khalil Shakir (BUF),2022,10,1,16,8,8,8,1,0,2,1,0,0,1,0,0,0,0
124,125,Jalen Nailor (MIN),2022,8,1,22,14,14,8,5,0,2,1,0,0,1,0,0,0,0
125,126,Brandon Powell (MIN),2022,17,1,9,-2,-2,11,1,0,2,2,0,0,0,0,0,0,0
126,127,Amari Rodgers (HOU),2022,15,1,14,9,9,5,1,0,2,1,0,0,1,0,0,0,0
127,128,River Cracraft (MIA),2022,8,1,13,10,10,3,0,0,2,1,0,0,1,0,0,0,0
128,129,Marquez Callaway (DEN),2022,10,2,16,12,12,4,2,0,3,2,0,1,1,0,0,0,0
129,130,David Bell (CLE),2022,15,2,14,9,9,5,2,0,2,2,0,0,1,0,0,0,0
130,131,Sterling Shepard (NYG),2022,3,4,51,33,33,18,9,0,8,5,1,0,2,0,0,0,0
131,132,Skyy Moore (KC),2022,16,1,16,6,6,9,2,0,2,1,0,0,1,0,0,0,0
132,133,Zach Pascal (ARI),2022,15,1,10,4,4,6,1,0,1,1,0,0,0,0,0,0,0
133,134,Keelan Cole Sr. (LV),2022,12,1,12,9,9,2,1,0,2,1,0,0,1,0,0,0,0
134,135,Scotty Miller (ATL),2022,12,2,15,13,13,3,1,0,3,2,0,0,1,0,0,0,0
135,136,Jalen Reagor (MIN),2022,17,0,6,4,4,2,0,0,1,0,0,0,0,0,0,0,0
136,137,KJ Hamler (DEN),2022,7,1,24,20,20,3,1,0,2,1,0,0,1,0,0,0,0
137,138,Denzel Mims (NYJ),2022,9,1,21,12,12,8,6,0,3,2,0,0,1,0,0,0,0
138,139,Lawrence Cager (NYG),2022,6,2,20,7,7,13,2,0,3,2,0,0,1,0,0,0,0
139,140,N'Keal Harry (FA),2022,6,1,19,17,17,3,0,0,2,1,0,0,1,0,0,0,0
140,141,Steven Sims Jr. (HOU),2022,12,1,9,2,2,7,1,0,2,1,0,0,0,0,0,0,0
141,142,DeSean Jackson (FA),2022,7,1,22,19,19,3,0,0,2,1,0,0,1,0,0,0,0
142,143,Anthony Schwartz (CLE),2022,7,1,7,3,3,4,0,0,1,1,0,0,0,0,0,0,0
143,144,Cedrick Wilson Jr. (MIA),2022,13,1,10,7,7,3,1,0,1,1,0,0,0,0,0,0,0
144,145,Breshad Perriman (FA),2022,8,1,14,7,7,7,1,0,2,1,0,0,1,0,0,0,0
145,146,Samori Toure (GB),2022,4,1,21,18,18,3,1,0,3,1,0,0,1,1,1,0,0
146,147,Tom Kennedy (DET),2022,7,1,20,9,9,11,2,0,2,1,0,0,1,0,0,0,0
147,148,Kenny Golladay (FA),2022,6,1,14,12,12,2,0,0,3,2,1,0,1,0,0,0,0
148,149,Jameson Williams (DET),2022,6,0,7,6,6,1,0,0,2,1,0,0,0,0,0,0,0
149,150,Jeff Smith (NYG),2022,7,1,19,14,14,5,0,0,2,1,0,0,1,0,0,0,0
150,151,T.Y. Hilton (FA),2022,3,2,40,29,29,11,6,0,3,3,1,0,1,1,0,0,0
151,152,Jalen Virgil (DEN),2022,7,0,11,5,5,6,0,0,1,0,0,0,0,0,0,0,0
152,153,David Sills V (NYG),2022,7,2,15,9,9,6,2,0,2,2,0,0,1,0,0,0,0
153,154,Marcus Johnson (FA),2022,8,1,12,8,8,5,1,0,3,1,0,0,1,0,0,0,0
154,155,Dax Milne (WAS),2022,15,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
155,156,Michael Bandy (FA),2022,8,1,11,8,8,3,0,0,3,1,0,0,1,0,0,0,0
156,157,Cam Sims (LV),2022,13,1,7,5,5,1,0,0,1,1,0,0,0,0,0,0,0
157,158,Brandon Johnson (DEN),2022,5,1,8,6,6,3,1,0,3,1,0,0,0,0,0,0,0
158,159,Freddie Swain (MIA),2022,3,1,25,16,16,9,1,0,2,1,0,0,1,0,0,0,0
159,160,Kevin White (FA),2022,6,0,12,1,1,11,6,0,1,1,0,0,0,0,0,0,0
160,161,Gunner Olszewski (PIT),2022,15,0,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0
161,162,Dee Eskridge (SEA),2022,9,1,6,1,1,5,1,0,1,1,0,0,0,0,0,0,0
162,163,Jake Kumerow (FA),2022,5,1,13,9,9,3,1,0,1,1,0,0,1,0,0,0,0
163,164,Jalen Guyton (LAC),2022,2,1,32,29,29,4,0,0,2,1,0,0,1,1,1,1,1
164,165,Jamison Crowder (NYG),2022,4,2,15,8,8,8,2,0,3,2,0,0,1,0,0,0,0
165,166,Mike Strachan (IND),2022,6,1,10,8,8,2,1,0,2,1,0,1,1,0,0,0,0
166,167,Mike Thomas (BAL),2022,5,0,8,3,3,5,6,0,2,1,0,1,0,0,0,0,0
167,168,Deven Thompkins (TB),2022,5,1,6,0,0,6,3,0,2,1,0,0,0,0,0,0,0
168,169,Trent Taylor (CIN),2022,16,0,4,1,1,3,1,0,1,0,0,0,0,0,0,0,0
169,170,Cody Hollister (TEN),2022,6,1,9,8,8,1,0,0,1,1,0,0,0,0,0,0,0
170,171,James Proche II (BAL),2022,12,1,5,4,4,1,1,0,1,1,0,0,0,0,0,0,0
171,172,Chris Conley (SF),2022,4,1,12,11,11,1,0,0,2,2,1,0,0,0,0,0,0
172,173,Andre Baccellia (ARI),2022,5,1,9,7,7,2,0,0,2,1,0,0,0,0,0,0,0
173,174,Racey McMath (TEN),2022,4,1,10,8,8,2,0,0,2,1,0,0,0,0,0,0,0
174,175,Laquon Treadwell (FA),2022,3,2,14,10,10,4,1,0,3,2,0,1,1,0,0,0,0
175,176,Michael Woods II (CLE),2022,8,1,6,4,4,2,0,0,1,1,0,0,0,0,0,0,0
176,177,Kyle Philips (TEN),2022,4,2,20,14,14,5,0,0,3,2,0,0,1,1,0,0,0
177,178,Cole Beasley (FA),2022,5,1,7,4,4,3,1,0,2,1,0,0,0,0,0,0,0
178,179,Tylan Wallace (BAL),2022,6,1,6,4,4,2,1,0,1,1,0,0,0,0,0,0,0
179,180,Tim Jones (JAC),2022,7,0,4,1,1,3,2,0,1,1,0,0,0,0,0,0,0
180,181,Tyrie Cleveland (PHI),2022,5,0,6,2,2,3,2,0,1,0,0,0,0,0,0,0,0
181,182,Simi Fehoko (DAL),2022,3,1,8,5,5,3,2,0,1,1,0,0,0,0,0,0,0
182,183,Dezmon Patmon (BUF),2022,1,2,24,17,17,7,5,0,6,3,1,1,1,0,0,0,0
183,184,Andy Isabella (BAL),2022,4,1,5,4,4,1,1,0,1,1,0,0,1,0,0,0,0
184,185,Cade Johnson (SEA),2022,2,1,11,8,8,3,1,0,2,1,0,0,1,0,0,0,0
185,186,Lil'Jordan Humphrey (DEN),2022,4,1,5,1,1,4,1,0,1,1,0,0,0,0,0,0,0
186,187,Penny Hart (ATL),2022,3,1,7,3,3,4,2,0,1,1,0,0,0,0,0,0,0
187,188,Danny Gray (SF),2022,7,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
188,189,Keith Kirkwood (NO),2022,3,1,6,5,5,1,0,0,1,1,0,0,0,0,0,0,0
189,190,Juwann Winfree (IND),2022,3,0,6,4,4,2,0,0,1,1,0,0,0,0,0,0,0
190,191,Dennis Houston (DAL),2022,2,1,8,5,5,3,3,0,3,1,0,0,1,0,0,0,0
191,192,Bryan Edwards (NO),2022,4,1,4,2,2,2,1,0,1,1,0,1,0,0,0,0,0
192,193,Austin Trammell (LAR),2022,2,1,7,7,7,0,0,0,2,1,0,0,0,0,0,0,0
193,194,Montrell Washington (DEN),2022,15,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0
194,195,Lance McCutcheon (LAR),2022,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,196,Ihmir Smith-Marsette (KC),2022,4,0,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0
196,1,Cooper Kupp (LAR),2021,17,9,115,65,65,50,15,1,11,9,0,2,4,2,1,1,0
197,2,Deebo Samuel (SF),2021,16,5,88,39,39,53,18,1,8,6,1,1,3,2,1,1,0
198,3,Ja'Marr Chase (CIN),2021,17,5,86,47,47,38,15,0,8,6,1,1,3,1,1,0,0
199,4,Justin Jefferson (MIN),2021,17,6,95,67,67,28,9,0,10,7,0,1,4,2,1,0,0
200,5,Davante Adams (LV),2021,16,8,97,60,60,37,9,0,11,8,0,2,4,1,1,0,0
201,6,Mike Evans (TB),2021,16,5,65,49,49,16,4,0,7,5,0,1,3,1,0,0,0
202,7,Tyreek Hill (MIA),2021,17,7,73,47,47,26,7,1,9,7,0,1,3,1,0,0,0
203,8,Stefon Diggs (BUF),2021,17,6,72,53,53,19,9,0,10,7,0,2,3,1,0,0,0
204,9,Mike Williams (LAC),2021,16,5,72,46,46,26,9,0,8,5,0,1,3,1,1,1,0
205,10,DK Metcalf (SEA),2021,17,4,57,38,38,19,9,0,8,5,0,1,2,1,0,0,0
206,11,Tyler Lockett (SEA),2021,16,5,73,56,56,17,4,0,7,5,0,0,2,1,1,0,0
207,12,Diontae Johnson (PIT),2021,16,7,73,40,40,33,6,1,11,7,0,1,3,1,0,0,0
208,13,Hunter Renfrow (LV),2021,17,6,61,34,34,27,7,0,8,6,0,1,2,1,0,0,0
209,14,CeeDee Lamb (DAL),2021,16,5,69,41,41,28,12,1,8,6,1,1,3,1,1,0,0
210,15,Keenan Allen (LAC),2021,16,7,71,50,50,21,5,0,10,7,1,1,3,1,0,0,0
211,16,Michael Pittman Jr. (IND),2021,17,5,64,43,43,20,6,0,8,6,0,1,3,1,0,0,0
212,17,Tee Higgins (CIN),2021,14,5,78,57,57,21,7,0,8,6,0,1,4,1,0,0,0
213,18,DJ Moore (CHI),2021,17,5,68,43,43,25,7,0,10,6,1,1,3,1,0,0,0
214,19,Chris Godwin (TB),2021,14,7,79,37,37,42,14,0,9,7,0,2,3,1,0,0,0
215,20,Jaylen Waddle (MIA),2021,16,7,63,36,36,27,6,0,9,7,1,1,2,1,0,0,0
216,21,Brandin Cooks (DAL),2021,16,6,65,42,42,22,4,0,8,6,0,1,3,1,0,0,0
217,22,Darnell Mooney (CHI),2021,17,5,62,40,40,22,7,0,8,5,1,1,2,1,0,0,0
218,23,Amon-Ra St. Brown (DET),2021,16,6,57,31,31,27,6,0,7,6,0,1,2,1,0,0,0
219,24,Terry McLaurin (WAS),2021,17,5,62,43,43,19,7,0,8,5,0,1,3,1,1,0,0
220,25,Marquise Brown (ARI),2021,16,6,63,39,39,24,6,0,9,6,1,1,3,1,0,0,0
221,26,Amari Cooper (CLE),2021,15,5,58,42,42,16,5,0,7,5,0,1,2,1,0,0,0
222,27,Adam Thielen (CAR),2021,13,5,56,37,37,18,5,0,7,5,0,1,2,1,0,0,0
223,28,Christian Kirk (JAC),2021,17,5,58,45,45,13,4,0,6,5,0,1,2,1,0,0,0
224,29,Kendrick Bourne (NE),2021,17,3,47,24,24,23,5,0,4,3,0,0,2,1,0,0,0
225,30,DeVonta Smith (PHI),2021,17,4,54,41,41,13,4,0,6,4,0,0,2,1,0,0,0
226,31,Van Jefferson (LAR),2021,17,3,47,34,34,13,5,0,5,3,0,1,2,1,0,0,0
227,32,A.J. Brown (PHI),2021,13,5,67,48,48,19,8,0,8,6,1,1,3,1,0,0,0
228,33,Tyler Boyd (CIN),2021,16,4,52,27,27,24,4,0,6,4,0,0,2,1,0,0,0
229,34,Brandon Aiyuk (SF),2021,17,3,49,28,28,20,8,0,5,4,0,1,2,1,0,0,0
230,35,K.J. Osborn (MIN),2021,17,3,39,28,28,11,3,0,5,3,0,1,1,1,0,0,0
231,36,Chase Claypool (CHI),2021,15,4,57,38,38,19,8,0,7,4,0,1,2,1,0,0,0
232,37,Marvin Jones Jr. (DET),2021,17,4,49,41,41,8,2,0,7,5,0,1,2,1,0,0,0
233,38,Marquez Callaway (DEN),2021,17,3,41,33,33,8,3,0,5,3,0,1,2,1,0,0,0
234,39,DeAndre Hopkins (ARI),2021,10,4,57,43,43,14,5,0,6,4,0,1,3,1,0,0,0
235,40,Tim Patrick (DEN),2021,16,3,46,33,33,13,2,0,5,4,0,1,2,1,0,0,0
236,41,Jakobi Meyers (LV),2021,16,5,54,40,40,14,3,0,8,6,0,1,2,1,0,0,0
237,42,Cedrick Wilson Jr. (MIA),2021,14,3,43,25,25,18,6,0,4,3,0,1,2,1,0,0,0
238,43,A.J. Green (FA),2021,16,3,53,42,42,11,5,0,6,4,0,1,2,1,1,0,0
239,44,Allen Lazard (NYJ),2021,14,3,37,25,25,12,4,0,4,3,0,1,2,1,0,0,0
240,45,Russell Gage (TB),2021,13,5,59,40,40,20,7,0,7,6,0,1,2,1,0,0,0
241,46,Elijah Moore (CLE),2021,11,4,49,30,30,19,5,0,7,4,0,1,2,1,0,0,0
242,47,Courtland Sutton (DEN),2021,17,3,46,38,38,8,2,0,6,4,0,1,2,1,0,0,0
